vessel_id,registry_count,reg_mmsi,reg_flag,reg_name,reg_imo,reg_geartype,reg_owner,ais_mmsi,ais_flag,ais_name,ais_match_fields,ais_msg_count,no_registry,flag_mismatch,name_mismatch,no_match,no_shipname,mmsi_history_count,mmsi_history,parse_error
763e0474b-b24c-39c4-9e3f-c9d5db0c5fa8,0.0,,,,,[],,926148619,,TIELONG61486-19-98%,NO_MATCH,197.0,True,False,False,True,False,1.0,['926148619'],
91f95787b-bd9b-2597-4470-a936100b308d,0.0,,,,,[],,563195900,SGP,CNC LEOPARD,NO_MATCH,3521204.0,True,False,False,True,False,1.0,['563195900'],
4c69df63b-bb01-1a08-380d-1c6b19f126fd,0.0,,,,,[],,416002057,TWN,CHYUU FWU NO.7,NO_MATCH,143921.0,True,False,False,True,False,1.0,['416002057'],
443a4d345-5e32-1629-bcd5-84e3bf5fa965,0.0,,,,,[],,100425824,,04258-24-91%,NO_MATCH,648.0,True,False,False,True,False,1.0,['100425824'],
4875633a7-75a5-e7f3-0e4c-772a4e3611ae,0.0,,,,,[],,352003107,PAN,ULSAN VOYAGER,NO_MATCH,3004178.0,True,False,False,True,False,1.0,['352003107'],
109dca7ed-de4c-2bec-d722-f7059968432c,0.0,,,,,[],,72390838,,60968-19         69%,NO_MATCH,136.0,True,False,False,True,False,1.0,['72390838'],
c9b1fe116-6a43-9be0-f97c-49168b2e515e,0.0,,,,,[],,159000020,,-66%,NO_MATCH,38499.0,True,False,False,True,False,1.0,['159000020'],
1579287e0-0e8a-d312-a461-cece0c31f185,0.0,,,,,[],,373925424,PAN,JM ARIES,NO_MATCH,481753.0,True,False,False,True,False,1.0,['373925424'],
c5e64a877-7e31-4215-1089-0583da9f2d9c,0.0,,,,,[],,416004233,TWN,BIH JONG FA NO.168,NO_MATCH,1494073.0,True,False,False,True,False,1.0,['416004233'],
e25a5b7df-fc50-4ef6-a1f1-aed00708a40b,0.0,,,,,[],,286026323,,YU60263---23 90%,NO_MATCH,1098.0,True,False,False,True,False,1.0,['286026323'],
dd5a47e66-65e4-99fe-1a79-1a0b7eddb5a0,0.0,,,,,[],,538010845,MHL,SAWASDEE MIMOSA,NO_MATCH,2906133.0,True,False,False,True,False,1.0,['538010845'],
5f73c0de0-0baf-4571-9619-9bf821f95036,0.0,,,,,[],,618650007,ATF,61865---7-99%,NO_MATCH,6504.0,True,False,False,True,False,1.0,['618650007'],
66404ce35-5d14-b0a0-88ed-540960c01c72,0.0,,,,,[],,296897522,,68975-22-99%,NO_MATCH,2832.0,True,False,False,True,False,1.0,['296897522'],
74bebc679-98ce-a69f-7820-443880749fff,0.0,,,,,[],,806165548,,61655-48-99%,NO_MATCH,246.0,True,False,False,True,False,1.0,['806165548'],
b69c3564f-f0b2-9009-98c6-52462b37b32e,0.0,,,,,[],,102400386,,NET00386--24-99%,NO_MATCH,6606.0,True,False,False,True,False,1.0,['102400386'],
3cf64a9e9-9eb2-cf36-f267-fd2273287b55,0.0,,,,,[],,110231205,,02312-05-99%,NO_MATCH,334.0,True,False,False,True,False,1.0,['110231205'],
3326ff1fc-cd86-9562-a846-9f46338479d0,0.0,,,,,[],,88849,,00888--49--99%,NO_MATCH,3316.0,True,False,False,True,False,1.0,['88849'],
14ae8a47a-a762-380d-3c5f-57be31274f76,0.0,,,,,[],,693310004,,69331+4          17%,NO_MATCH,338.0,True,False,False,True,False,1.0,['693310004'],
db66558f5-506b-7e7a-bf94-bf10287f8d5e,0.0,,,,,[],,800501111,,01111-5-99%,NO_MATCH,18620.0,True,False,False,True,False,1.0,['800501111'],
d9493dece-eb22-bce7-7e80-566149db8622,0.0,,,,,[],,561092011,WSM,61092-11-84%,NO_MATCH,439.0,True,False,False,True,False,1.0,['561092011'],
d4fa09adb-b434-7af4-1d53-cade404b83c2,1.0,356613000,PAN,PULAUTIOMAN,9561617,['CARGO'],IWAMI,356613000,PAN,PULAU TIOMAN,SEVERAL_FIELDS,4328469.0,False,False,True,False,False,1.0,['356613000'],
17fcdbf12-2fcb-777e-7664-b50e2524394a,0.0,,,,,[],,100231007,,02310-07--81%,NO_MATCH,256.0,True,False,False,True,False,1.0,['100231007'],
c0dada86e-eb26-521c-ef34-e6820e154d2e,0.0,,,,,[],,667002388,SLE,AKIMOTO,NO_MATCH,581456.0,True,False,False,True,False,1.0,['667002388'],
8981e1beb-b3f6-1596-b684-2a5a3ad0fab1,0.0,,,,,[],,352005274,PAN,TRANSHARMONY EMERALD,NO_MATCH,1240152.0,True,False,False,True,False,1.0,['352005274'],
f356d9c70-0c0d-b5fa-a6c4-4e9ab9d0f67b,0.0,,,,,[],,373579000,PAN,MSC GIANNINA II,NO_MATCH,4817306.0,True,False,False,True,False,1.0,['373579000'],
f8e3ef30f-f93b-949f-5475-5fc6944c944c,0.0,,,,,[],,18023918,,02391-8-71%,NO_MATCH,571.0,True,False,False,True,False,1.0,['18023918'],
3a583defc-c709-3346-224c-fc970a083541,0.0,,,,,[],,618680019,ATF,61868+19         8V0,NO_MATCH,484.0,True,False,False,True,False,1.0,['618680019'],
c57c3b055-5c57-bdf6-0227-6f61aba44560,3.0,440997000,KOR,WOO JONG,9297280,['BUNKER_OR_TANKER'],WOOLIM SHIPPING,440997000,KOR,WOO JONG,SEVERAL_FIELDS,3191978.0,False,False,False,False,False,3.0,"['440997000', '441391000', '538004625']",
bc2418328-8946-9540-3be1-60238f9cb39a,0.0,,,,,[],,353777000,PAN,RICH OCEAN,NO_MATCH,3295213.0,True,False,False,True,False,1.0,['353777000'],
8d27ebe14-4d12-33d8-23c6-9fd836cbbc66,0.0,,,,,[],,252200491,LIE,TIELONG1195933-27%,NO_MATCH,18622.0,True,False,False,True,False,1.0,['252200491'],
d9e4cb999-9abf-460a-ede4-7dcdf74d2218,0.0,,,,,[],,374659000,PAN,GOLDEN STAR24,NO_MATCH,10185.0,True,False,False,True,False,1.0,['374659000'],
6c9d5dd81-13eb-8d12-2b62-dd5f4d6e1d0e,0.0,,,,,[],,286083301,,60833--1-99%,NO_MATCH,1832.0,True,False,False,True,False,1.0,['286083301'],
a9a4a0d82-2a65-dd3b-7aa7-d2ec36a92e21,0.0,,,,,[],,563138600,SGP,WAN HAI 289,NO_MATCH,4518965.0,True,False,False,True,False,1.0,['563138600'],
6047befb3-337a-d6e1-12a2-1a9697ed2ba6,0.0,,,,,[],,96086623,,60866--2394%,NO_MATCH,50.0,True,False,False,True,False,1.0,['96086623'],
0570d7499-95d6-11cf-c221-ff0b4703dfec,0.0,,,,,[],,613181002,CMR,61318--2-98%,NO_MATCH,2033.0,True,False,False,True,False,1.0,['613181002'],
e18f3f0a0-0a0a-2084-c571-22f88fbeb3e9,0.0,,,,,[],,100192826,,01928+26-36%,NO_MATCH,102.0,True,False,False,True,False,1.0,['100192826'],
b3789142c-ccbf-1217-7ea9-2de272a8fbe9,0.0,,,,,[],,616512554,COM,TIELONG61651-54-99%,NO_MATCH,21299.0,True,False,False,True,False,1.0,['616512554'],
94d64a64b-bccd-2f9d-ec5e-55ae8f3a76a0,0.0,,,,,[],,442865658,,239,NO_MATCH,16347.0,True,False,False,True,False,1.0,['442865658'],
da480327d-d943-115b-f1fd-2a647e8019df,0.0,,,,,[],,994168861,,BUOY34607-01-80%,NO_MATCH,8203.0,True,False,False,True,False,1.0,['994168861'],
69644a1f1-148a-63df-58e5-a2ebb871a974,0.0,,,,,[],,415173729,,TIELONG61737-29-99%,NO_MATCH,17145.0,True,False,False,True,False,1.0,['415173729'],
628938572-20bb-be37-0ca5-abd8a6375458,0.0,,,,,[],,100235812,,02358-12--99%,NO_MATCH,7557.0,True,False,False,True,False,1.0,['100235812'],
69662495c-c86b-e670-2202-cfb2dc5706c0,0.0,,,,,[],,225180538,ESP,YU60581--1-88%,NO_MATCH,1937.0,True,False,False,True,False,1.0,['225180538'],
f8128533c-c86c-4282-f77d-8082596f0da5,0.0,,,,,[],,910239125,,02391-25-54%,NO_MATCH,278.0,True,False,False,True,False,1.0,['910239125'],
c5ff26057-7aee-2fba-e8b3-2634b1d9eec6,0.0,,,,,[],,100437513,,NET04375--13---99%,NO_MATCH,12672.0,True,False,False,True,False,1.0,['100437513'],
baa0a2568-881a-fe71-5d93-f7e8fbc33b2e,0.0,,,,,[],,296081511,,60815--11-99%,NO_MATCH,8110.0,True,False,False,True,False,1.0,['296081511'],
579dbe93c-cbae-89fa-e2d6-ac7ade6aa76d,0.0,,,,,[],,85621512,,ZHELIN21512-8-99%,NO_MATCH,1775.0,True,False,False,True,False,1.0,['85621512'],
